Label,URI,Comment
mass fraction of noy expressed as nitrogen in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_noy_expressed_as_nitrogen_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Noy describes a family of chemical species. The family usually includes atomic nitrogen (N), nitrogen monoxide (NO), nitrogen dioxide (NO2), dinitrogen pentoxide (N2O5), nitric acid (HNO3), peroxynitric acid (HNO4), bromine nitrate (BrONO2) , chlorine nitrate (ClONO2) and organic nitrates (most notably peroxyacetyl nitrate, sometimes referred to as PAN, (CH3COO2NO2)). The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mass fraction of oxygenated hydrocarbons in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_oxygenated_hydrocarbons_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'.  Oxygenated means containing oxygen. Hydrocarbon means a compound containing hydrogen and carbon."
mass fraction of ozone in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_ozone_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X)."
mass fraction of particulate organic matter dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_particulate_organic_matter_dry_aerosol_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water.  particulate_organic_matter_dry_aerosol means all particulate organic matter dry aerosol except black carbon.  It is the sum of primary_particulate_organic_matter_dry_aerosol and secondary_particulate_organic_matter_dry_aerosol."
mass fraction of peroxy radicals in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_peroxy_radicals_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The term peroxy_radicals means all organic and inorganic peroxy radicals. This includes HO2 and all organic peroxyradicals, sometimes referred to as RO2. In chemistry, a 'radical' is a highly reactive, and therefore shortlived, species."
mass fraction of peroxyacetyl nitrate in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_peroxyacetyl_nitrate_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for peroxyacetyl nitrate, sometimes referred to as PAN, is CH3COO2NO2.  The IUPAC name for peroxyacetyl_nitrate is nitroethaneperoxoate."
mass fraction of peroxynitric acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_peroxynitric_acid_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for peroxynitric acid, sometimes referred to as PNA, is HO2NO2."
mass fraction of pm10 ambient aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_pm10_ambient_aerosol_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Ambient aerosol is aerosol that has taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the aerosol. Pm10 aerosol is an air pollutant with an aerodynamic diameter of less than or equal to 10 micrometers. To specify the relative humidity and temperature at which the particle size applies, provide scalar coordinate variables with the standard names of, respectively, relative_humidity and air_temperature."
mass fraction of pm1 ambient aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_pm1_ambient_aerosol_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquidor solid particles in air (except cloud droplets).  Ambient aerosol is aerosol that has taken up ambient water through hygroscopic growth. The extent of hygroscopic growth dependson the relative humidity and the composition of the aerosol. Pm1 aerosol is an air pollutant with an aerodynamic diameter of less than or equal to 1 micrometer. To specify the relative humidity and temperature at which the particle size applies, provide scalar coordinate variables with the standard names of, respectively, relative_humidity and air_temperature."
mass fraction of pm2p5 ambient aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_pm2p5_ambient_aerosol_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Ambient aerosol is aerosol that has taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the aerosol. Pm2p5 aerosol is an air pollutant with an aerodynamic diameter of less than or equal to 2.5 micrometers. To specify the relative humidity and temperature at which the particle size applies, provide scalar coordinate variables with the standard names of, respectively, relative_humidity and air_temperature."
mass fraction of precipitation in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_precipitation_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X)."
mass fraction of primary particulate organic matter dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_primary_particulate_organic_matter_dry_aerosol_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water.  Primary particulate organic matter  means all organic matter emitted directly to the atmosphere as particles except black carbon.  The sum of primary_particulate_organic_matter_dry_aerosol and secondary_particulate_organic_matter_dry_aerosol is particulate_organic_matter_dry_aerosol."
mass fraction of propane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_propane_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for propane isC3H8. Propane is a member of the group of hydrocarbons known as alkanes.  There are standard names for the alkane group as well as for some of the individual species."
mass fraction of propene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_propene_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for propene isC3H6. Propene is a member of the group of hydrocarbons known as alkenes.  There are standard names for the alkene group as well as for some of the individual species."
mass fraction of radon in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_radon_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for radon is Rn."
mass fraction of rain in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_rain_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X)."
mass fraction of seasalt dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_seasalt_dry_aerosol_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water."
mass fraction of secondary particulate organic matter dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_secondary_particulate_organic_matter_dry_aerosol_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water.  Secondary particulate organic matter  means particulate organic matter formed within the atmosphere from gaseous precursors.  The sum of primary_particulate_organic_matter_dry_aerosol and secondary_particulate_organic_matter_dry_aerosol is particulate_organic_matter_dry_aerosol."
mass fraction of snow in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_snow_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X)."
mass fraction of stratiform cloud ice in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_stratiform_cloud_ice_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X). In an atmosphere model, stratiform cloud is that produced by large-scale convergence (not the convection schemes)."
mass fraction of stratiform cloud liquid water in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_stratiform_cloud_liquid_water_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X). In an atmosphere model, stratiform cloud is that produced by large-scale convergence (not the convection schemes)."
mass fraction of sulfate dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_sulfate_dry_aerosol_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  Mass_fraction_of_sulfate means that the mass is expressed as mass of SO4.  Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water."
mass fraction of sulfur dioxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_sulfur_dioxide_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X)."
mass fraction of sulfuric acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_sulfuric_acid_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'."
mass fraction of terpenes in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_terpenes_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Terpenes are hydrocarbons, that is,they contain only hydrogen and carbon combined in the general proportions (C5H8)n where n is an integer greater than on equal to one. The term terpenes is used in standard names to describe the group of chemical species having this common structure that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute.  Standard names exist for some individual terpene species, e.g., isoprene and limonene."
mass fraction of toluene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_toluene_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for toluene isC6H5CH3.  Toluene has the same structure as benzene, except that one of the hydrogen atomsis replaced by a methyl group.  The systematic name for toluene is methylbenzene."
mass fraction of water in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_water_in_air,"Water means water in all phases. Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X)."
mass fraction of water in ambient aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_water_in_ambient_aerosol_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol."
mass fraction of xylene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_xylene_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for xylene is C6H4C2H6. In chemistry, xylene is a generic term for a group of three isomers of dimethylbenzene. The IUPAC names for the isomers are 1,2-dimethylbenzene, 1,3-dimethylbenzene and 1,4-dimethylbenzene. Xylene is an aromatic hydrocarbon. There are standard names that refer toaromatic_compounds as a group, as well as those for individual species."
mole concentration of acetic acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_acetic_acid_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for acetic_acid is CH3COOH. The IUPAC name for acetic acid is ethanoic acid."
mole concentration of aceto nitrile in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_aceto_nitrile_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for aceto-nitrile is CH3CN. The IUPAC name for aceto-nitrile is ethanenitrile."
mole concentration of alpha hexachlorocyclohexane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_alpha_hexachlorocyclohexane_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for alpha_hexachlorocyclohexane is C6H6Cl6."
mole concentration of alpha pinene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_alpha_pinene_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for alpha_pinene is C10H16. The IUPAC name for alpha-pinene is (1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene."
mole concentration of ammonia in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_ammonia_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for ammonia is NH3."
mole concentration of anthropogenic nmvoc expressed as carbon in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_anthropogenic_nmvoc_expressed_as_carbon_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. nmvoc means non methane volatile organic compounds. Anthropogenic means influenced,caused, or created by human activity.  The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituentsof A."
mole concentration of atomic bromine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_atomic_bromine_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for atomic bromine is Br."
mole concentration of atomic chlorine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_atomic_chlorine_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for atomic chlorine is Cl."
mole concentration of atomic nitrogen in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_atomic_nitrogen_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for atomic nitrogen is N."
mole concentration of benzene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_benzene_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for benzene is C6H6.  Benzene is the simplest aromatic hydrocarbon and has a ring structure consisting of six carbon atoms joined by alternating single and double chemical bonds. Each carbon atom is additionally bonded to one hydrogen atom. There are standard names that refer to aromatic_compounds as a group, as well as those for individual species."
mole concentration of beta pinene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_beta_pinene_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for beta_pinene is C10H16.  The IUPAC name for beta-pinene is (1S,5S)-6,6-dimethyl-2-methylenebicyclo[3.1.1]heptane."
mole concentration of biogenic nmvoc expressed as carbon in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_biogenic_nmvoc_expressed_as_carbon_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. nmvoc means non methane volatile organic compounds. Biogenic means influenced, caused, or created by natural processes.  The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituentsof A."
mole concentration of bromine chloride in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_bromine_chloride_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for bromine chloride is BrCl."
mole concentration of bromine monoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_bromine_monoxide_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for bromine monoxide is BrO."
mole concentration of bromine nitrate in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_bromine_nitrate_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for bromine nitrate is BrONO2."
mole concentration of brox expressed as bromine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_brox_expressed_as_bromine_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Brox describes a family of chemical species consisting of inorganic bromine compounds with theexception of  hydrogen bromide (HBr) and bromine nitrate (BrONO2). Brox is theterm used in standard names for all species belonging to the family that are represented within a given model. The list of individual species that are included in a quantity with a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Inorganic bromine, sometimes referred to as Bry, describes a family of chemical species which result from the degradation of source gases containing bromine (halons, methyl bromide, VSLS) and natural inorganic bromine sources such as volcanoes, seasalt and other aerosols.  Standard names that use the term inorganic_bromine are used for quantities that contain all inorganic bromine species including HCland ClONO2. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard nameis calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mole concentration of butane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_butane_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for butane is C4H10. Butane is a member of the group of hydrocarbons known as alkanes. There are standard names for the alkane group as well as for some of the individual species."
mole concentration of carbon dioxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_carbon_dioxide_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for carbon dioxide is CO2."
mole concentration of carbon monoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_carbon_monoxide_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of carbon monoxide is CO."
mole concentration of carbon tetrachloride in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_carbon_tetrachloride_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of carbon tetrachloride is CCl4."
mole concentration of cfc113 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_cfc113_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of CFC113 is CCl2FCClF2. The IUPAC name for CFC113 is 1,1,2-trichloro-1,2,2-trifluoro-ethane."
mole concentration of cfc113a in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_cfc113a_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of CFC113a CCl3CF3.  The IUPAC name for CFC113a is 1,1,1-trichloro-2,2,2-trifluoro-ethane."
mole concentration of cfc114 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_cfc114_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of CFC114 is CClF2CClF2. The IUPAC name for CFC114 is 1,2-dichloro-1,1,2,2-tetrafluoro-ethane."
mole concentration of cfc115 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_cfc115_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of CFC115 is CClF2CF3. The IUPAC name for CFC115 is 1-chloro-1,1,2,2,2-pentafluoro-ethane."
mole concentration of cfc11 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_cfc11_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of CFC11 is CFCl3. The IUPAC name fof CFC11 is trichloro-fluoro-methane."
mole concentration of cfc12 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_cfc12_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for CFC12 is CF2Cl2.  The IUPAC name for CFC12 is dichloro-difluoro-methane."
mole concentration of chlorine dioxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_chlorine_dioxide_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for chlorine dioxide is OClO."
mole concentration of chlorine monoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_chlorine_monoxide_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for chlorine monoxide is ClO."
